Name,Phone,Link
Mille-Feuille Bakery,N/A,https://www.google.com/maps/place/Mille-Feuille+Bakery/data=!4m7!3m6!1s0x89c25991b6a3384f:0x683e898a1887e798!8m2!3d40.7291554!4d-73.9982843!16s%2Fg%2F1vfn7ksg!19sChIJTzijtpFZwokRmOeHGIqJPmg
Dominique Ansel Bakery,+1 212-219-2773 ,https://www.google.com/maps/place/Dominique+Ansel+Bakery/data=!4m7!3m6!1s0x89c2598c5a8e423f:0x501f1a0240e2f39a!8m2!3d40.7252509!4d-74.0028734!16s%2Fm%2F0_yvc1x!19sChIJP0KOWoxZwokRmvPiQAIaH1A
Orwashers Bakery,+1 212-288-6569 ,https://www.google.com/maps/place/Orwashers+Bakery/data=!4m7!3m6!1s0x89c258bf3e3ed213:0xb57420c1ee368c7a!8m2!3d40.7722982!4d-73.954946!16s%2Fg%2F1w6r95vr!19sChIJE9I-Pr9YwokReow27sEgdLU
Librae Bakery,N/A,"https://www.google.com/maps/place/Librae+Bakery/@40.7281186,-73.9907524,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25943f1ac200f:0x35eadc7fbe1dd768!8m2!3d40.7281186!4d-73.9907524!16s%2Fg%2F11sx541m93"
Victory Sweet Shop/Victory Garden Cafe,+1 718-274-2087 ,https://www.google.com/maps/place/Victory+Sweet+Shop%2FVictory+Garden+Cafe/data=!4m7!3m6!1s0x89c25f6f5b0d0f0f:0x474263db3a1427f1!8m2!3d40.773086!4d-73.905434!16s%2Fg%2F1vgqd_w_!19sChIJDw8NW29fwokR8ScUOttjQkc
Tous Les Jours,+1 212-967-9661 ,https://www.google.com/maps/place/Tous+Les+Jours/data=!4m7!3m6!1s0x89c259a8e40197af:0x5a88a5383c8380f5!8m2!3d40.7479249!4d-73.9870192!16s%2Fg%2F1hf2pqnhn!19sChIJr5cB5KhZwokR9YCDPDiliFo
Magnolia Bakery,+1 212-724-8101 ,https://www.google.com/maps/place/Magnolia+Bakery/data=!4m7!3m6!1s0x89c2588adfda72fd:0xc58fe7653c5da782!8m2!3d40.7756833!4d-73.9803361!16s%2Fg%2F1th648mk!19sChIJ_XLa34pYwokRgqddPGXnj8U
Mia's Brooklyn Bakery,+1 212-933-1728 ,"https://www.google.com/maps/place/Mia's+Brooklyn+Bakery/@40.7802558,-73.9527362,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2595d70cee64b:0xc7524fde3b536bb4!8m2!3d40.7802558!4d-73.9527362!16s%2Fg%2F11y7d9mcq7"
Ferrara Bakery & Cafe,+1 212-226-6150 ,https://www.google.com/maps/place/Ferrara+Bakery+%26+Cafe/data=!4m7!3m6!1s0x89c2598846142f4f:0xa304d8316018d607!8m2!3d40.7190779!4d-73.9970913!16s%2Fm%2F0n47fb1!19sChIJTy8URohZwokRB9YYYDHYBKM
Mille-feuille Bakery Cafe,N/A,"https://www.google.com/maps/place/Mille-feuille+Bakery+Cafe/@40.7824282,-73.9811812,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25888492d8f17:0xc6b69529730f6792!8m2!3d40.7824282!4d-73.9811812!16s%2Fg%2F11bbrp5w91"
Fabrique Artisan Bakery,+1 917-261-2476 ,https://www.google.com/maps/place/Fabrique+Artisan+Bakery/data=!4m7!3m6!1s0x89c2591dfa7d103f:0xf076dd95447fc641!8m2!3d40.7404517!4d-74.0047474!16s%2Fg%2F11fjsb2l5t!19sChIJPxB9-h1ZwokRQcZ_RJXddvA
Paris Baguette,+1 332-910-0404 ,https://www.google.com/maps/place/Paris+Baguette/data=!4m7!3m6!1s0x89c258f7d6695c9f:0xda2978e289355c4!8m2!3d40.7670593!4d-73.9828857!16s%2Fg%2F11c3tcwz4_!19sChIJn1xp1vdYwokRxFWTKI6Xog0
Sullivan Street Bakery,+1 212-265-5580 ,https://www.google.com/maps/place/Sullivan+Street+Bakery/data=!4m7!3m6!1s0x89c25851d7f66eed:0x5c54863a6515f55b!8m2!3d40.7636385!4d-73.9947182!16s%2Fg%2F1tvtc7rj!19sChIJ7W7211FYwokRW_UVZTqGVFw
Mia's Brooklyn Bakery,+1 917-261-4437 ,https://www.google.com/maps/place/Mia%27s+Brooklyn+Bakery/data=!4m7!3m6!1s0x89c2592895e1e371:0xce030e5950e5a7f9!8m2!3d40.7597848!4d-73.9844411!16s%2Fg%2F11fhyl4t9j!19sChIJcePhlShZwokR-aflUFkOA84
Zeppola Bakery,+1 917-419-9690 ,https://www.google.com/maps/place/Zeppola+Bakery/data=!4m7!3m6!1s0x89c259509bcf12d3:0x4b3663e2b2e0420d!8m2!3d40.7525809!4d-73.9892619!16s%2Fg%2F11j322025z!19sChIJ0xLPm1BZwokRDULgsuJjNks
Petit Chou,+1 917-475-1620 ,https://www.google.com/maps/place/Petit+Chou/data=!4m7!3m6!1s0x89c259d3bf639177:0xf29079732a14cbe6!8m2!3d40.7311085!4d-73.9830833!16s%2Fg%2F11hh7nw8jw!19sChIJd5Fjv9NZwokR5ssUKnN5kPI
Schmackary's,+1 646-801-9866 ,https://www.google.com/maps/place/Schmackary%27s/data=!4m7!3m6!1s0x89c25853c6446c43:0x1d7bc2fc84f290b5!8m2!3d40.7601195!4d-73.9909418!16s%2Fg%2F11g_qx8yl!19sChIJQ2xExlNYwokRtZDyhPzCex0
Breads Bakery,+1 212-633-2253 ,https://www.google.com/maps/place/Breads+Bakery/data=!4m7!3m6!1s0x89c259987e9b6771:0x9cc8db3e64cdb346!8m2!3d40.7368676!4d-73.9916439!16s%2Fg%2F1hhw9tbzx!19sChIJcWebfphZwokRRrPNZD7byJw
Lady M Cake Boutique - NYC,+1 929-556-7686 ,https://www.google.com/maps/place/Lady+M+Cake+Boutique+-+NYC/data=!4m7!3m6!1s0x89c259a608b3d3e1:0xb1abc72ae366364c!8m2!3d40.7453342!4d-73.9884848!16s%2Fg%2F11bzt7k_0h!19sChIJ4dOzCKZZwokRTDZm4yrHq7E
Sugar Sweet Sunshine Bakery,+1 212-995-1960 ,https://www.google.com/maps/place/Sugar+Sweet+Sunshine+Bakery/data=!4m7!3m6!1s0x89c259816cb2ee99:0x2c7c7bde3aac5869!8m2!3d40.716406!4d-73.9887986!16s%2Fg%2F1td9fp23!19sChIJme6ybIFZwokRaVisOt57fCw
Magnolia Bakery - Grand Central,+1 212-682-3588 ,https://www.google.com/maps/place/Magnolia+Bakery+-+Grand+Central/data=!4m7!3m6!1s0x89c259022aebce29:0x924afd7e2d4bc51d!8m2!3d40.7525713!4d-73.9767735!16s%2Fg%2F1tjdxtnk!19sChIJKc7rKgJZwokRHcVLLX79SpI
Buttercup BakeShop,+1 212-350-4144 ,"https://www.google.com/maps/place/Buttercup+BakeShop/@40.755938,-73.968057,17z/data=!3m1!4b1!4m6!3m5!1s0x89c258e3aecd4169:0x580f6a661d1481c7!8m2!3d40.755938!4d-73.968057!16s%2Fg%2F113j9890f"
Paris Baguette,+1 212-244-0404 ,"https://www.google.com/maps/place/Paris+Baguette/@40.7473832,-73.9862556,17z/data=!3m1!4b1!4m6!3m5!1s0x89c259a8e53e7e03:0xe9fa9622f44a63ba!8m2!3d40.7473832!4d-73.9862556!16s%2Fg%2F1w3w3yvf"
Amy's Bread,+1 212-977-2670 ,https://www.google.com/maps/place/Amy%27s+Bread/data=!4m7!3m6!1s0x89c25851609e46b5:0x596f38a28667ddeb!8m2!3d40.761253!4d-73.990308!16s%2Fm%2F0zs43nw!19sChIJtUaeYFFYwokR691nhqI4b1k
Rosetta Bakery,+1 917-261-2270 ,https://www.google.com/maps/place/Rosetta+Bakery/data=!4m7!3m6!1s0x89c25981a93662f3:0x240b17a7aef86a2!8m2!3d40.7620853!4d-73.9846163!16s%2Fg%2F11wc9l0sc3!19sChIJ82I2qYFZwokRoobvenqxQAI
Unregular Bakery,+1 646-422-7262 ,"https://www.google.com/maps/place/Unregular+Bakery/@40.7330887,-73.9902141,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2594b2d0c64e7:0x63a354b147b80567!8m2!3d40.7330887!4d-73.9902141!16s%2Fg%2F11l2j3vqq3"
Breads Bakery,+1 212-633-2253 ,https://www.google.com/maps/place/Breads+Bakery/data=!4m7!3m6!1s0x89c258f5931952b5:0x46b759b8cedd6757!8m2!3d40.7710295!4d-73.9818079!16s%2Fg%2F11bxf481rk!19sChIJtVIZk_VYwokRV2fdzrhZt0Y
Little Cupcake Bakeshop,+1 212-941-9100 ,https://www.google.com/maps/place/Little+Cupcake+Bakeshop/data=!4m7!3m6!1s0x89c2598f585d7627:0xac8afce849d773db!8m2!3d40.7228743!4d-73.9948543!16s%2Fg%2F1tf08l0z!19sChIJJ3ZdWI9ZwokR23PXSej8iqw
Paris Baguette,+1 917-634-8740 ,https://www.google.com/maps/place/Paris+Baguette/data=!4m7!3m6!1s0x89c258e352be9353:0xb3e33b800cd903b0!8m2!3d40.7575753!4d-73.9713694!16s%2Fg%2F1ptzrlk60!19sChIJU5O-UuNYwokRsAPZDIA747M
Paris Baguette,+1 212-921-0404 ,https://www.google.com/maps/place/Paris+Baguette/data=!4m7!3m6!1s0x89c259ab4768f1bf:0xa191865943292b02!8m2!3d40.7548599!4d-73.9876055!16s%2Fg%2F1ptyf1s4g!19sChIJv_FoR6tZwokRAispQ1mGkaE
Takahachi Bakery,+1 212-791-5550 ,"https://www.google.com/maps/place/Takahachi+Bakery/@40.713775,-74.0085278,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25a18c8ab0343:0x9a24de4ed521cfd3!8m2!3d40.713775!4d-74.0085278!16s%2Fg%2F1vbnqb4w"
Posh Pop Bakeshop,+1 212-674-7674 ,https://www.google.com/maps/place/Posh+Pop+Bakeshop/data=!4m7!3m6!1s0x89c2590c598f80f9:0x401c5a489b0419f!8m2!3d40.7292238!4d-74.0015358!16s%2Fg%2F11h5smzv1g!19sChIJ-YCPWQxZwokRn0GwiaTFAQQ
Heritage Grand Bakery,+1 212-419-9163 ,https://www.google.com/maps/place/Heritage+Grand+Bakery/data=!4m7!3m6!1s0x89c2592749f6ae3d:0x6e1510754dbe43e2!8m2!3d40.7523176!4d-73.9826875!16s%2Fg%2F11s87r57ft!19sChIJPa72SSdZwokR4kO-TXUQFW4
Magnolia Bakery - Central Park South,+1 646-908-3838 ,https://www.google.com/maps/place/Magnolia+Bakery+-+Central+Park+South/data=!4m7!3m6!1s0x89c2590c7d05a6fd:0xf41c612405d92aa0!8m2!3d40.7672458!4d-73.9814538!16s%2Fg%2F11nmcrlp5q!19sChIJ_aYFfQxZwokRoCrZBSRhHPQ
Huascar & Co. Bakeshop,+1 212-933-1041 ,https://www.google.com/maps/place/Huascar+%26+Co.+Bakeshop/data=!4m7!3m6!1s0x89c2585a187e434f:0x8117e5e31598c6a3!8m2!3d40.7671115!4d-73.9894391!16s%2Fg%2F11c2q0l8wp!19sChIJT0N-GFpYwokRo8aYFePlF4E
Paris Baguette,+1 914-875-0404 ,https://www.google.com/maps/place/Paris+Baguette/data=!4m7!3m6!1s0x89c259da9f2fb217:0xb8ef8191a428d788!8m2!3d40.7488133!4d-73.9918772!16s%2Fg%2F11fq_d2833!19sChIJF7Ivn9pZwokRiNcopJGB77g
